Name,Age,Gender,Annual Income,Education,Phone Owned,Email,Web,Mobile,Walk-in,Video Call,Phone Call,Letter
Ali,22,M,15000,Highschool,Samsung Galaxy S3,1,1,1,1,0,0,0
Mutu,25,M,30000,Diploma,HTC One Note,1,1,1,0,0,0,0
Lim,33,M,36000,Diploma,iPhone 5,1,1,1,0,1,0,0
Angie,47,F,45000,Diploma,iPhone 6s,1,0,0,1,1,1,1
Jack,26,M,25000,Degree,Xiaomi MI3,1,1,1,0,0,0,0
Mambutu,35,M,18000,Primary,Hua Wei Honour 6,1,1,1,1,1,1,0
Pierre,54,M,120000,Degree,Nokia E63,1,0,0,0,0,1,1
Valerie,32,F,80000,Masters,iPhone 3Gs,1,1,1,0,1,0,0
Farah,19,F,12000,Primary,HTC Mozart 7,0,0,1,1,0,1,0
Muhammad,22,M,16000,Primary,HTC One E8,1,1,1,0,0,0,0
Regina,22,F,15000,Highschool,iPhone 6+,1,1,1,0,1,0,0
Trevor,25,M,30000,Diploma,OnePlus 2,1,0,1,0,0,0,0
Melinda,39,F,33000,Diploma,Samsung Galaxy A8,1,0,0,0,0,0,0
Aishah,45,F,42000,Diploma,Lenovo VIBE Shot,1,0,0,0,0,0,0
Abdullah,26,M,25000,Degree,iPhone 5s,1,1,1,0,1,0,0
Rizal,35,M,18000,Primary,Xiaomi MI3,1,1,1,0,0,0,0
Wong,51,M,110000,Degree,iPhone 6s+,1,0,0,0,1,1,1
Jill,29,F,75000,Masters,iPhone 6s,1,1,0,0,1,0,0
Polly,21,F,12200,Primary,Xiaomi Pad Tablet,1,1,1,1,0,0,0
Wanda,23,F,17000,Primary,Xiaomi MI4,1,1,1,0,0,0,0
